"Lab_ID","Field_ID","Date","Temp_C","pH","SpCond_us_cm","DO_mgL","CO2_ppm","CH4_ppm","Alkalinity_mgL","DIC_umolesL","DOC_mgL_ofC","SUVA_Lmg_Cm","UV_at254nm","Calcium_mgL","Potassium_mgL","Magnesium_mgL","Sodium_mgL","Chloride_mgL","Sulfate_mgL","Ammonium_mgL","Nitrate_mgL","Phosphorous_mgL","H2_permil","O18_permil","DIC_13C_permil","TYPE","Source"
12310,"0_18_1","2011-06-26",19.1,8.99,NA,NA,484,76.37,306.93,3616.6,87.6,1.9,1.645,17.49,10.22,19.8,102.98,10.89,2.86,0.444,0.2,"NA",NA,NA,0.65,"Lake","USGS_RStriegl"
12311,"1_90_2","2011-06-27",19.5,7.45,118,NA,4090,25.68,64.21,982.3,36.6,2.7,0.977,19.42,1.94,5.6,1.17,0.56,1.35,NA,0.52,"NA",NA,NA,-8.07,"Lake","USGS_RStriegl"
12312,"0_18_3","2011-06-28",20.5,8.86,NA,NA,148,28.63,105.11,1198,26.5,2,0.525,28.38,0.45,9.5,5.73,2.14,10.08,0,0.14,"NA",NA,NA,-4.02,"Lake","USGS_RStriegl"
12313,"0_18_6","2011-06-28",20.7,10.24,NA,NA,0,151.52,121.2,749.8,60.9,1.5,0.891,18.26,6.89,16.4,13.01,3,5.8,0.049,0.005,"NA",NA,NA,-11.47,"Lake","USGS_RStriegl"
12314,"1_90_4","2011-06-29",17.3,7.15,128,NA,4808,22.79,73.46,1140.3,38.6,2.8,1.074,27.73,3.58,7.4,3.3,0.82,3.47,0,0.005,"NA",NA,NA,-9.5,"Lake","USGS_RStriegl"
12315,"0_4_1","2011-06-29",20.3,8.44,1255,NA,4655,8.23,0,7584.6,173,4.4,7.64,18.2,25.37,18.7,392.14,26,77.24,NA,1.85,"NA",NA,NA,-8.94,"Lake","USGS_RStriegl"
12316,"0_18_5","2011-06-30",19.4,9.6,196,NA,0,93.43,113.32,1209,31.9,2.2,0.7,15.47,0.17,9,19.7,0.91,2.39,0.05,0.005,"NA",NA,NA,-8.03,"Lake","USGS_RStriegl"
12317,"0_4_2","2011-06-30",19.3,8.74,4064,NA,7325,20.6,NA,22663.9,507,4.2,21.1,19.03,48.11,76.7,1575.38,49.08,NA,NA,1.41,"NA",NA,NA,-6.59,"Lake","USGS_RStriegl"
12318,"0_4_4","2011-06-30",17.2,9.34,9052,NA,4451,7.41,NA,42739,1130,4.3,49.2,40.03,95.59,69.2,4803.02,140.49,NA,NA,NA,"NA",NA,NA,-5.21,"Lake","USGS_RStriegl"
12319,"0_4_3","2011-07-01",18.4,8.41,3051,NA,9487,44.55,NA,19579.3,433,4.5,19.3,22.42,48.7,59.1,1129.49,50.83,NA,NA,NA,"NA",NA,NA,-9.73,"Lake","USGS_RStriegl"
12320,"1_98_1","2011-07-02",18.9,7.65,140,NA,130,19.01,83.86,1099.4,27.9,2.1,0.577,20.56,3.54,7.1,2.7,1.3,0.68,0,0.17,"NA",NA,NA,-4.33,"Lake","USGS_RStriegl"
12813,"0_35_1","2011-07-27",20.5,7.75,1200,NA,5316,22.79,833.84,11358.6,58.4,3.1,1.849,32.67,11.64,21.2,398.83,15.13,2.75,0.006,1.52,"NA",NA,NA,0.14,"Lake","USGS_RStriegl"
12814,"0_15_1","2011-07-28",20.7,8.94,446,NA,615,38.4,247.08,3080.4,60.6,1.9,1.126,47.07,12.12,30.7,29.54,14.64,31.24,0.262,0.73,"NA",NA,NA,-2.11,"Lake","USGS_RStriegl"
12815,"0_35_2","2011-07-29",20.3,8.63,302,NA,224,54.25,192.12,2192.7,45.9,2.3,1.05,26.6,4.94,16.1,33.07,6.24,5.08,0.081,0.005,"NA",NA,NA,-3.75,"Lake","USGS_RStriegl"
12816,"0_97_2","2011-07-29",20.7,9.95,193,NA,0,32.45,85.14,723.2,51.2,1.9,0.8,24.46,3.73,8.7,5.41,1.92,0.45,0.088,0.24,"NA",NA,NA,-12.76,"Lake","USGS_RStriegl"
12817,"0_36_2","2011-07-30",19.5,7.74,164,NA,0,118.03,90.43,766.6,32.2,1.5,0.488,16.72,3.34,9.9,6.37,2.79,0.015,0.045,0.005,"NA",NA,NA,-11.79,"Lake","USGS_RStriegl"
12818,"0_97_3","2011-07-30",19.2,9.32,452,NA,263,130.62,226.42,2886.2,36.5,1.7,0.607,15.55,5.27,24.2,49.3,13.23,0.015,0.092,0.005,"NA",NA,NA,-10.31,"Lake","USGS_RStriegl"
12819,"0_97_1","2011-07-30",18.9,9.6,231,NA,58,34.19,102.09,1169.6,36.2,2,0.727,17.99,3.05,9.1,17.78,6.16,4.94,0.091,0.005,"NA",NA,NA,-0.6,"Lake","USGS_RStriegl"
12820,"0_36_1","2011-07-31",15.5,7.32,330,NA,2164,350.18,187,1522.3,53.9,1.4,0.738,45.07,10.57,17,10.88,11.88,0.81,0.174,0.005,"NA",NA,NA,6.25,"Lake","USGS_RStriegl"
