         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	          Cl	          Na	           K	           N	
           2	      transp	          10	        0.95	       54000	          10	     7.00002	     13.6219	  3.8768e-04	  1.2727e-04	  8.7280e-04	  1.0001e-03	
           2	      transp	          11	        1.05	       54000	          10	     7.00002	     13.6219	  4.6467e-04	  6.7581e-05	  9.3248e-04	  1.0001e-03	
           2	      transp	          12	        1.15	       54000	          10	     7.00003	     13.6219	  4.9243e-04	  3.0745e-05	  9.6932e-04	  1.0001e-03	
           2	      transp	          13	        1.25	       54000	          10	     7.00003	     13.6219	  4.5811e-04	  1.1988e-05	  9.8807e-04	  1.0001e-03	
           2	      transp	          14	        1.35	       54000	          10	     7.00002	     13.6219	  3.7620e-04	  3.9981e-06	  9.9606e-04	  1.0001e-03	
           2	      transp	          15	        1.45	       54000	          10	     7.00002	     13.6219	  2.7323e-04	  1.1366e-06	  9.9892e-04	  1.0001e-03	
           2	      transp	          16	        1.55	       54000	          10	     7.00001	     13.6219	  1.7416e-04	  2.7440e-07	  9.9978e-04	  1.0001e-03	
           2	      transp	          17	        1.65	       54000	          10	     7.00001	     13.6219	  9.6075e-05	  5.6039e-08	  1.0000e-03	  1.0001e-03	
           2	      transp	          18	        1.75	       54000	          10	           7	     13.6219	  4.5211e-05	  9.6477e-09	  1.0000e-03	  1.0001e-03	
           2	      transp	          19	        1.85	       54000	          10	           7	     13.6219	  1.7934e-05	  1.3954e-09	  1.0001e-03	  1.0001e-03	
           2	      transp	          20	        1.95	       54000	          10	           7	     13.6219	  6.4870e-06	  1.7678e-10	  1.0001e-03	  1.0001e-03	
